Zip Code,Price,Status,URL
12309,"$354,900",For sale,https://www.zillow.com/homedetails/18-Wiltshire-Way-Niskayuna-NY-12309/32493568_zpid/
12309,"$470,900",New construction,https://www.zillow.com/community/harmon-grove-by-amedore-homes/2080274366_zpid/
12304,"$89,900",For sale,https://www.zillow.com/homedetails/3520-Albany-St-Schenectady-NY-12304/32493958_zpid/
12309,"$499,900",For sale,https://www.zillow.com/homedetails/1381-Philomena-Rd-Niskayuna-NY-12309/32490899_zpid/
12309,"$299,900",For sale,https://www.zillow.com/homedetails/2217-Lynnwood-Dr-Niskayuna-NY-12309/32493202_zpid/
12306,"$498,900",New construction,https://www.zillow.com/homedetails/0-Giffords-Church-Rd-Schenectady-NY-12306/2079865684_zpid/
12309,"$687,700",For sale,https://www.zillow.com/homedetails/73-Dublin-Dr-Niskayuna-NY-12309/32494482_zpid/
12309,"$355,000",For sale,https://www.zillow.com/homedetails/2499-Rosendale-Rd-Niskayuna-NY-12309/32493078_zpid/
12303,"$374,900",For sale,https://www.zillow.com/homedetails/2048-Debutante-Mnr-Schenectady-NY-12303/124237288_zpid/
12302,"$249,900",New construction,https://www.zillow.com/community/yates-farms-condominiums/2091756066_zpid/
12084,"$419,900",New construction,https://www.zillow.com/homedetails/14-Danielle-Dr-Guilderland-NY-12084/2079131271_zpid/
12302,"$170,000",For sale,https://www.zillow.com/homedetails/322-Waters-Rd-Glenville-NY-12302/2081216064_zpid/
12303,"$115,500",For sale,https://www.zillow.com/homedetails/1828-Van-Cortland-St-Schenectady-NY-12303/201968611_zpid/
12303,"$442,060",Pre-foreclosure,https://www.zillow.com/homedetails/135-Timothy-Ln-Schenectady-NY-12303/80190589_zpid/
12302,"$210,000",Lot/land,https://www.zillow.com/homedetails/Bolt-Rd-Scota-NY-12302/2082571939_zpid/
12306,"$319,900",New construction,https://www.zillow.com/homedetails/350-W-Lucille-Ln-Rotterdam-NY-12306/2082500794_zpid/
12306,"$125,000",Lot/land,https://www.zillow.com/homedetails/0-Mariaville-Rd-Rotterdam-NY-12306/2098045487_zpid/
12309,"$402,800",New construction,https://www.zillow.com/homedetails/Wexford-Dr-Niskayuna-NY-12309/2093353204_zpid/
12304,"$427,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433964_zpid/
12309,"$449,900",New construction,https://www.zillow.com/homedetails/7-Espen-Pl-Niskayuna-NY-12309/2086212062_zpid/
12304,"$459,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433952_zpid/
12309,"$447,400",New construction,https://www.zillow.com/community/forest-hills/145553349_zpid/
12304,"$429,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433958_zpid/
12304,"$419,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433957_zpid/
12304,"$427,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433951_zpid/
12309,"$327,900",New construction,https://www.zillow.com/homedetails/1C-Park-Ridge-Dr-Niskayuna-NY-12309/2096890802_zpid/
12304,"$410,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433950_zpid/
12309,"$324,900",New construction,https://www.zillow.com/homedetails/1A-Park-Ridge-Dr-Niskayuna-NY-12309/2096905530_zpid/
12306,"$75,000",For sale,https://www.zillow.com/homedetails/1043-Helderberg-Ave-Schenectady-NY-12306/2110925815_zpid/
12302,"$37,500",Lot/land,https://www.zillow.com/homedetails/921-Sacandaga-Rd-Glenville-NY-12302/2094965847_zpid/
12304,"$399,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433949_zpid/
12302,"$506,900",For sale,https://www.zillow.com/homedetails/00I-Pine-Hollow-Dr-Charlton-NY-12302/2094032330_zpid/
12302,"$452,900",For sale,https://www.zillow.com/homedetails/00A-Pine-Hollow-Dr-Charlton-NY-12302/2094032324_zpid/
12302,"$474,900",For sale,https://www.zillow.com/homedetails/00-E-Pine-Hollow-Dr-Charlton-NY-12302/2094032319_zpid/
12010,"$7,500",Lot/land,https://www.zillow.com/homedetails/00-W-Glenville-Rd-Amsterdam-NY-12010/2092125391_zpid/
12306,"$18,000",Lot/land,https://www.zillow.com/homedetails/2346-Fairlee-St-Schenectady-NY-12306/32465966_zpid/
12302,"$465,900",For sale,https://www.zillow.com/homedetails/00D-Pine-Hollow-Dr-Charlton-NY-12302/2094032321_zpid/
12304,"$17,500",Lot/land,https://www.zillow.com/homedetails/0-Lathrope-Ave-Schenectady-NY-12304/2099084563_zpid/
12302,"$673,900",For sale,https://www.zillow.com/homedetails/00R-Pine-Hollow-Dr-Charlton-NY-12302/2094032314_zpid/
12303,"$3,900",Lot/land,https://www.zillow.com/homedetails/1222-1224-3rd-Ave-Schenectady-NY-12303/2090436517_zpid/
12302,"$499,500",Lot/land,https://www.zillow.com/homedetails/0-Fieldstone-Ests-Glenville-NY-12302/2092010295_zpid/
12307,"$10,000",For sale,https://www.zillow.com/homedetails/234-Duane-Ave-Schenectady-NY-12307/201923978_zpid/
12302,"$400,000",New construction,https://www.zillow.com/homedetails/510-Sanders-Rd-Schenectady-NY-12302/119166280_zpid/
12309,"$499,900",For sale,https://www.zillow.com/homedetails/2820-Balltown-Rd-Niskayuna-NY-12309/32488803_zpid/
12302,"$1,100,000",Lot/land,https://www.zillow.com/homedetails/0-Spring-Rd-Glenville-NY-12302/2100992886_zpid/
12309,"$64,900",Lot/land,https://www.zillow.com/homedetails/2572-Aqueduct-Rd-Schenectady-NY-12309/119166533_zpid/
12303,"$420,000",Lot/land,https://www.zillow.com/homedetails/7152-Fuller-Station-Rd-Schenectady-NY-12303/29703896_zpid/
12309,"$54,900",Lot/land,https://www.zillow.com/homedetails/2568-Aqueduct-Rd-Schenectady-NY-12309/119162799_zpid/
12307,"$8,200",Lot/land,https://www.zillow.com/homedetails/12-Catherine-St-Schenectady-NY-12307/102089125_zpid/
12302,"$277,000",Lot/land,https://www.zillow.com/homedetails/44B-Edmel-Rd-Glenville-NY-12302/2093574057_zpid/
12302,"$149,900",Lot/land,https://www.zillow.com/homedetails/460-Saratoga-Rd-Glenville-NY-12302/201939344_zpid/
12307,"$20,000",For sale,https://www.zillow.com/homedetails/59-Waldorf-Pl-Schenectady-NY-12307/32469112_zpid/
12309,"$469,000",New construction,https://www.zillow.com/homedetails/81-Tamarack-Ln-Niskayuna-NY-12309/145553339_zpid/
12309,"$395,000",New construction,https://www.zillow.com/homedetails/8-Victoria-Dr-Glenville-NY-12309/201939318_zpid/
12302,"$350,000",Lot/land,https://www.zillow.com/homedetails/0-Johnson-Rd-Glenville-NY-12302/2106647580_zpid/
12309,"$479,900",New construction,https://www.zillow.com/homedetails/3-Espen-Pl-Niskayuna-NY-12309/2086212061_zpid/
12309,"$439,400",New construction,https://www.zillow.com/community/forest-hills/145553479_zpid/
12304,"$475,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433969_zpid/
12304,"$419,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433971_zpid/
12304,"$429,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433965_zpid/
12304,"$369,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433956_zpid/
12309,"$442,400",New construction,https://www.zillow.com/community/forest-hills/145553468_zpid/
12304,"$360,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433953_zpid/
12304,"$374,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433955_zpid/
12304,"$379,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433939_zpid/
12309,"$429,000",New construction,https://www.zillow.com/community/forest-hills/2088665870_zpid/
12309,"$457,400",New construction,https://www.zillow.com/community/forest-hills/145553350_zpid/
12309,"$432,400",New construction,https://www.zillow.com/community/forest-hills/2088665871_zpid/
12309,"$461,400",New construction,https://www.zillow.com/community/forest-hills/145553365_zpid/
12309,"$522,400",New construction,https://www.zillow.com/community/forest-hills/145553336_zpid/
12309,"$480,400",New construction,https://www.zillow.com/community/forest-hills/145553333_zpid/
12309,"$457,400",New construction,https://www.zillow.com/community/forest-hills/145553331_zpid/
12309,"$467,400",New construction,https://www.zillow.com/community/forest-hills/145553332_zpid/
12309,"$473,400",New construction,https://www.zillow.com/community/forest-hills/145553334_zpid/
12309,"$462,400",New construction,https://www.zillow.com/community/forest-hills/145553330_zpid/
12309,"$453,400",New construction,https://www.zillow.com/community/forest-hills/145553328_zpid/
12309,"$423,400",New construction,https://www.zillow.com/community/forest-hills/145553323_zpid/
12304,"$424,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433923_zpid/
12304,"$424,900",New construction,https://www.zillow.com/community/windsor-oaks/2082491071_zpid/
12304,"$379,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433930_zpid/
12304,"$389,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433936_zpid/
12304,"$399,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433946_zpid/
12304,"$489,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433940_zpid/
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433967_zpid%2f&uuid=8de10de0-b7bd-11ea-bd2a-e7265ffca3bc&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433926_zpid%2f&uuid=8de66510-b7bd-11ea-b939-4105bef4c0ff&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433928_zpid%2f&uuid=8de9c070-b7bd-11ea-ad28-5dd4dd78d42f&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433933_zpid%2f&uuid=8df977e0-b7bd-11ea-9aff-fd0f0faaccfa&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433942_zpid%2f&uuid=8dfde4b0-b7bd-11ea-b9d0-0bc561ee6ac2&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433934_zpid%2f&uuid=8e00f1f0-b7bd-11ea-a38b-e17fb905fc5d&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433941_zpid%2f&uuid=8e020360-b7bd-11ea-a147-6b9cb01d543c&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433944_zpid%2f&uuid=8e086c00-b7bd-11ea-aa10-d1381ecbd301&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433943_zpid%2f&uuid=8e103430-b7bd-11ea-aa10-d1381ecbd301&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433948_zpid%2f&uuid=8e195bf0-b7bd-11ea-b7da-758adfb25c64&vid=
